title,content,address,label,user_name,user_id,like_count,collect_count,comment_count,share_count,create_time,post_id,ip_localtion,post_image,post_type
tiktok refugee indie artist 🎷🎸,"everyone has been so kind and welcoming so far, i love this app! | 到目前为止每个人都非常友善和热情，我喜欢这个应用程序！
    ",https://www.xiaohongshu.com/user/profile/6784c212000000000801d9d3?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvpDsokieftJ7IJgramiDDTA=&xsec_source=pc_note,Tiktok#indie#music#sax#tiktokrefugee,Emmanuel Zamar,6784c212000000000801d9d3,7.6万,3829,5851,2509,1/14/2025 12:08,6785e35000000000200254ab,U.S.,https://sns-img-qc.xhscdn.com/1040g2sg31cke7nbph6705ps4o8923mejkr42ee8?imageView2/format/png,video
Tiktok refugee 😔,  ,https://www.xiaohongshu.com/user/profile/67854108000000000801ec77?xsec_token=AB3M3QnLppS6k151qc2K92l6nzNBdgGeHX6KRqUaPzVCc=&xsec_source=pc_note,tiktokrefugee#tiktok#rednote,Violet Starr,67854108000000000801ec77,7.1万,4148,3398,3480,1/14/2025 2:36,67855d480000000019035ca9,U.S.,https://sns-img-bd.xhscdn.com/1040g2sg31cjtmo9ah2cg5ps584423r3nm0o3aco?imageView2/format/png,video
我会留下来,#小红书[话题]# #抖音[话题]# #美国人[话题]# #抖音难民[话题]#,https://www.xiaohongshu.com/user/profile/6783e106000000000801f7b8?xsec_token=AB5i0jIjncxlDiOGhm54UYXrzEoPSMGWbztygFcpjv4os=&xsec_source=pc_note,小红书#抖音#美国人#抖音难民,kirstenoboe,6783e106000000000801f7b8,6.1万,793,1677,24,2/24/2025 16:23,67bc2c7c00000000060397ba,U.S.,https://sns-img-qc.xhscdn.com/1040g00831e9eb8e3gu0g5ps3s4323ttoa2psijo?imageView2/format/png,video
TikTok refugee,The fact people would literally use a chinese app instead of instagram or youtube is pure comedic gold.  ,https://www.xiaohongshu.com/user/profile/6784876f000000000801e1d9?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvnAC2w3b2-szmxSfQU7QSZk=&xsec_source=pc_note,america#tiktokrefugee,Ugh,6784876f000000000801e1d9,5.5万,2307,1.7万,1.4万,1/13/2025 11:47,67848cb6000000000b033972,U.S.,https://sns-img-hw.xhscdn.com/1040g2sg31cj4de6t16705ps4gtni3oepiiph2mo?imageView2/format/png,video
tiktok refugee and artist 🫂,"True Love by Emmanuel Zamar ❤️‍🔥 please don’t hurt me im new here 😭
  ",https://www.xiaohongshu.com/user/profile/6784c212000000000801d9d3?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvpDsokieftJ7IJgramiDDTA=&xsec_source=pc_note,Tiktok#indie#music,Emmanuel Zamar,6784c212000000000801d9d3,4.7万,1667,4481,1355,1/13/2025 19:41,6784fbe2000000002002905d,U.S.,https://sns-img-qc.xhscdn.com/1040g00831cjhvmvs16005ps4o8923mejq56brt8?imageView2/format/png,video
TikTok Refugee 你好 #tiktokrefugee,你好,https://www.xiaohongshu.com/user/profile/6785d40e000000000801dae6?xsec_token=AB3M3QnLppS6k151qc2K92l3aj96EIAamM7Z7iRpNmoq4=&xsec_source=pc_note,,Aushen Ride,6785d40e000000000801dae6,4.6万,2469,3091,781,1/14/2025 14:31,678604d90000000020029f9b,U.S.,https://sns-img-qn.xhscdn.com/1040g00831ckianr2h2005ps5qg723mn6e3fh7i8?imageView2/format/png,video
TIKTOK refugee here✋🏾,Hope to make friends on this new adventure!             ,https://www.xiaohongshu.com/user/profile/6784ca55000000000801ea53?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvhEL8v-vLM3Wlh1mpnnJ9Fo=&xsec_source=pc_note,art#foreigners#foreigner#black#manga#blackpeople#drawing#tiktok#refugee#dragonball,Red_F_manga,6784ca55000000000801ea53,4.1万,644,4819,480,1/13/2025 17:18,6784da7c000000000b032731,U.S.,https://sns-img-bd.xhscdn.com/1040g00831cjdt6vigm005ps4p9ai3qijqil7oeo?imageView2/format/png,video
Loving this app,Hello! I guess this is the plan. ,https://www.xiaohongshu.com/user/profile/67846551000000000803f9b7?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvvkRmqjrtiWHCiQlyRMq5hQ=&xsec_source=pc_note,TikTok,Book Nerd,67846551000000000803f9b7,3.6万,589,8546,601,1/13/2025 9:40,67846ef5000000002002cdbe,U.S.,https://sns-img-hw.xhscdn.com/1040g00831cj0p8d50s005ps4cl8i7udnqjrqd8g?imageView2/format/png,video
,omgg heyy yall refugees,https://www.xiaohongshu.com/user/profile/67842f84000000000803c45f?xsec_token=ABtvPtwbTu4HUSyJ_tUKgWvh-1nFb9OmYMiCfa1ap8Y08=&xsec_source=pc_note,tiktok,.nabi_butterfly,67842f84000000000803c45f,3.4万,941,3714,381,1/13/2025 8:09,678459af000000002001cd2c,U.S.,https://sns-img-hw.xhscdn.com/1040g00831ciu5pn808005ps45u227h2v06tadpg?imageView2/format/png,video
Are the TikTok refugees still here?,"I am enjoying my time on this app! 抖音难民还在这里吗？
#抖音难民[话题]# #tiktokrefugee[话题]# #tiktok[话题]#",https://www.xiaohongshu.com/user/profile/67851ed5000000000803d644?xsec_token=ABKpU4VvRv4lDjdHFyEVhU-8vC0lzfVsSddTayyXQ6kp8=&xsec_source=pc_note,抖音难民#tiktokrefugee#tiktok,Jay Kin,67851ed5000000000803d644,2万,574,5952,9,2/21/2025 6:37,67b7ae920000000007035302,U.S.,https://sns-img-qn.xhscdn.com/1040g2sg31e529mfb0k705ps53rai7li4t2920b8?imageView2/format/png,video
